source,target,weight,edge_in_prob_v,edge_out_prob_u
13,19,0.036447857,0.65643805,0.65643805
13,20,0.031497363,0.65643805,0.65643805
13,21,0.033458386,0.65643805,0.65643805
13,22,0.04367684,0.65643805,0.65643805
13,23,0.022348821,0.65643805,0.65643805
13,24,0.038538545,0.65643805,0.65643805
13,25,0.03043022,0.65643805,0.65643805
13,26,0.031070879,0.65643805,0.65643805
13,27,0.026074683,0.65643805,0.65643805
13,28,0.033306092,0.65643805,0.65643805
13,29,0.033191998,0.65643805,0.65643805
13,30,0.02531253,0.65643805,0.65643805
14,0,0.03988862,0.65643805,0.65643805
14,1,0.021910578,0.65643805,0.65643805
14,2,0.025021678,0.65643805,0.65643805
14,3,0.040612992,0.65643805,0.65643805
14,4,0.058780126,0.65643805,0.65643805
14,5,0.021871941,0.65643805,0.65643805
14,6,0.023497717,0.65643805,0.65643805
14,7,0.029230332,0.65643805,0.65643805
14,8,0.03859943,0.65643805,0.65643805
14,9,0.053899158,0.65643805,0.65643805
14,10,0.021429017,0.65643805,0.65643805
14,11,0.023362922,0.65643805,0.65643805
14,12,0.03789493,0.65643805,0.65643805
14,13,0.025264531,0.65643805,0.65643805
14,15,0.02205329,0.65643805,0.65643805
14,16,0.06197004,0.65643805,0.65643805
14,17,0.024249408,0.65643805,0.65643805
14,18,0.027427046,0.65643805,0.65643805
14,19,0.020470703,0.65643805,0.65643805
14,20,0.02175197,0.65643805,0.65643805
14,21,0.061445333,0.65643805,0.65643805
14,22,0.030697022,0.65643805,0.65643805
14,23,0.027987687,0.65643805,0.65643805
14,24,0.023318427,0.65643805,0.65643805
14,25,0.022316882,0.65643805,0.65643805
14,26,0.021955421,0.65643805,0.65643805
14,27,0.02440379,0.65643805,0.65643805
14,28,0.06176133,0.65643805,0.65643805
14,29,0.06199228,0.65643805,0.65643805
14,30,0.024935355,0.65643805,0.65643805
15,0,0.041977093,0.65643805,0.65643805
15,1,0.04544515,0.65643805,0.65643805
15,2,0.025320478,0.65643805,0.65643805
15,3,0.04143696,0.65643805,0.65643805
15,4,0.028340772,0.65643805,0.65643805
15,5,0.032542605,0.65643805,0.65643805
15,6,0.045450594,0.65643805,0.65643805
15,7,0.024129713,0.65643805,0.65643805
15,8,0.042869255,0.65643805,0.65643805
15,9,0.031933784,0.65643805,0.65643805
15,10,0.034331974,0.65643805,0.65643805
